Order ID,Order Date,Customer ID,Product ID,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card,Coffee Type,Roast Type,Quantity,Size,Unit Price,Revenue,Profit,Day,Weekday,Month,Year
CTE-31437-326,2019-01-02,22721-63196-UJ,E-M-0.2,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,United Kingdom,BT2,No,Excelsa,Medium Roast,4,0.2,4.125,16.5,0.45375,2,Wednesday,1,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,L-L-0.2,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,United Kingdom,BT2,No,Liberica,Light Roast,3,0.2,4.755,14.265,0.61815,2,Wednesday,1,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,L-D-1,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,United Kingdom,BT2,No,Liberica,Dark Roast,4,1.0,12.95,51.8,1.6835,2,Wednesday,1,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,R-M-0.2,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,United Kingdom,BT2,No,Robusta,Medium Roast,4,0.2,2.985,11.94,0.17909999999999998,2,Wednesday,1,2019
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No,Robusta,Medium Roast,3,0.5,5.97,17.91,0.35819999999999996,2,Wednesday,1,2019
TID-21626-411,2019-01-03,19383-33606-PW,R-L-0.5,Suzanna Bollam,sbollamlf@list-manage.com,+1 (303) 746-0415,5 Buhler Center,Littleton,United States,80126,No,Robusta,Light Roast,3,0.5,7.169999999999999,21.509999999999998,0.4301999999999999,3,Thursday,1,2019
IMP-12563-728,2019-01-03,68346-14810-UA,E-L-0.5,Spencer Wastell,,+1 (432) 765-8747,80 Oak Alley,Midland,United States,79705,No,Excelsa,Light Roast,6,0.5,8.91,53.46,0.9801,3,Thursday,1,2019
OUQ-73954-002,2019-01-06,66308-13503-KD,R-M-0.2,Krissie Hammett,khammettgm@dmoz.org,+1 (415) 825-4799,798 Grover Lane,San Francisco,United States,94159,Yes,Robusta,Medium Roast,4,0.2,2.985,11.94,0.17909999999999998,6,Sunday,1,2019
CYZ-37122-164,2019-01-06,21798-04171-XC,E-M-0.5,Wilton Cottier,wcottierj3@cafepress.com,+1 (408) 261-7902,341 Oak Point,San Jose,United States,95160,No,Excelsa,Medium Roast,2,0.5,8.25,16.5,0.9075,6,Sunday,1,2019
TNR-84447-052,2019-01-09,34419-18068-AG,E-D-2.5,Dolores Duffie,dduffiepr@time.com,+1 (971) 936-3214,3 Jenifer Circle,Portland,United States,97271,No,Excelsa,Dark Roast,4,2.5,27.945,111.78,3.07395,9,Wednesday,1,2019
